,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,Market Cap,Volume Avg,Sector ID,Sector,IDs,Sub-industry
,EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389,10529109989,1778038,8,,,
,ETN,Eaton Corporation,reports,Industrials,Industrial Conglomerates,"Dublin, Ireland",,1551182,30464574000,2809890,6,,,
,EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,"San Jose, California",,1065088,67038139998,9422873,7,,,
,ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,31462,31143089962,1723571,8,,,
,EIX,Edison Int'l,reports,Utilities,Multi-Utilities & Unregulated Power,"Rosemead, California",,827052,22204030029,2134108,10,,,
,EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment & Services,"Irvine, California",,1099800,13409219943,826609,5,,,
,EA,Electronic Arts,reports,Information Technology,Application Software,"Redwood City, California",,712515,17204110016,4306737,7,,,
,EMC,EMC Corp.,reports,Information Technology,IT Consulting & Services,"Hopkinton, Massachusetts",,790070,52765179997,14573571,7,,,
,EMR,Emerson Electric,reports,Industrials,Industrial Conglomerates,"Ferguson, Missouri",3/31/1965,32604,39416580013,5471531,6,,,
,ENDP,Endo International,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",,1100962,12562681600,3198492,5,,,
,ESV,Ensco plc,reports,Energy,Oil & Gas Drilling,"London, United Kingdom",7/30/2012,314808,6568598993,5559583,3,,,
,ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984,15793899959,1566002,10,,,
,EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,821189,48789280041,5403709,3,,,
,EQT,EQT Corporation,reports,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",,33213,11278109987,1480159,3,,,
,EFX,Equifax Inc.,reports,Financials,Diversified Financial Services,"Atlanta, Georgia",,33185,10184739987,524601,4,,,
,EQR,Equity Residential,reports,Financials,REITs,"Chicago, Illinois",,906107,28123010036,1798990,4,,,
,ESS,Essex Property Trust Inc,reports,Financials,Residential REITs,"Palo Alto, California",,920522,14454120038,382626,4,,,
,EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,"New York, New York",,1001250,26796959976,1797748,2,,,
,EXC,Exelon Corp.,reports,Utilities,Multi-Utilities & Unregulated Power,"Chicago, Illinois",,1109357,30975110016,5868394,10,,,
,EXPE,Expedia Inc.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bellevue, Washington",,1324424,10955259993,1816464,1,,,
,EXPD,Expeditors Int'l,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",,746515,8602409017,1182471,6,,,
,ESRX,Express Scripts,reports,Health Care,Health Care Distributors & Services,"Cool Valley, Missouri",,1532063,60386114800,4218020,5,,,
,XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,370182500030,16473277,3,,,
,FFIV,F5 Networks,reports,Information Technology,Networking Equipment,"Seattle, Washington",,1048695,8283385032,1347012,7,,,
,FB,Facebook,reports,Information Technology,Internet Software & Services,"Menlo Park, California",,1326801,217452099979,25333899,7,,,
,FDO,Family Dollar Stores,reports,Consumer Discretionary,General Merchandise Stores,"Matthews, North Carolina",,34408,8709472992,2702348,1,,,
,FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",,815556,13311089999,1875788,6,,,
,FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1048911,47911000047,2051734,6,,,
,FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",,1136893,17714580011,887036,7,,,
,FITB,Fifth Third Bancorp,reports,Financials,Banks,"Cincinnati, Ohio",,35527,14387860004,10537606,4,,,
,FSLR,First Solar Inc,reports,Information Technology,Semiconductors,"Tempe, Arizona",,1274494,4244944980,2390149,7,,,
,FE,FirstEnergy Corp,reports,Utilities,Multi-Utilities & Unregulated Power,"Akron, Ohio",,1031296,16970559997,2971396,10,,,
